"Base population file (persistent data) From ""C_ETHPUK11""",Rate to use (from NewEthpop outputs) Code,Rate to use (from NewEthpop outputs) Name
0,N/A,N/A
1,N/A,N/A
2,WBI,"White: British, Irish, Gypsy, Irish Traveller"
3,WBI,"White: British, Irish, Gypsy, Irish Traveller"
4,WBI,"White: British, Irish, Gypsy, Irish Traveller"
5,WHO,White: Other White
6,N/A,N/A
7,MIX,Mixed or Multiple Ethnic Groups
8,MIX,Mixed or Multiple Ethnic Groups
9,MIX,Mixed or Multiple Ethnic Groups
10,MIX,Mixed or Multiple Ethnic Groups
11,N/A,N/A
12,IND,Asian or Asian British: Indian
13,PAK,Asian or Asian British: Pakistani
14,BAN,Asian or Asian British: Bangladeshi
15,CHI,Asian or Asian British: Chinese
16,OAS,Asian or Asian British: Other Asian
17,N/A,N/A
18,BLA,Black or Black British: Black African
19,BLC,Black or Black British: Black Caribbean
20,BLO,Black or Black British: Other Black
21,N/A,N/A
22,OTH,Other Ethnic Group
23,OTH,Other Ethnic Group
